unit,section,cefr,skill_name,teaching_objective,guidebook_heading,hebrew,english,audio_url
1,1,Intro,Letters 1,learn the alphabet,Learn the alphabet,אבא בא?,Is dad coming?,https://d1vq87e9lcf771.cloudfront.net/he_v1/978200291b085a5fae30ee44c89ea9c7
1,1,Intro,Letters 1,learn the alphabet,Learn the alphabet,אמא באה?,Is mom coming?,https://d1vq87e9lcf771.cloudfront.net/he_v1/9339543852bb90f34a08e29115c09915
1,1,Intro,Letters 1,learn the alphabet,Learn the alphabet,אבא בא ואמא באה.,Dad is coming and mom is coming.,https://d1vq87e9lcf771.cloudfront.net/he_v1/66c6d937416ddf5c5ab42e306eaf331d
1,1,Intro,Letters 1,learn the alphabet,Learn the alphabet,היא אוהבת מים.,She likes water.,https://d1vq87e9lcf771.cloudfront.net/he_v1/814bf3511c97e108bf5d5ce477e480e6
1,1,Intro,Letters 1,learn the alphabet,Learn the alphabet,את אוהבת לחם.,You like bread.,https://d1vq87e9lcf771.cloudfront.net/he_v1/e2d57ce0db45366467c21e8defdbd25b
2,1,Intro,Letters 2,,Learn the alphabet,אני אוכלת לחם.,I am eating bread.,https://d1vq87e9lcf771.cloudfront.net/he_v1/8395bf30f2bffa18cfbd716d16df25a8
2,1,Intro,Letters 2,,Learn the alphabet,"לא, אני לא אוכל לחם.","No, I am not eating bread.",https://d1vq87e9lcf771.cloudfront.net/he_v1/05c9a905986014d51c43f7fa1addb3fb
2,1,Intro,Letters 2,,Learn the alphabet,הילד אוכל אורז.,The boy is eating rice.,https://d1vq87e9lcf771.cloudfront.net/he_v1/7b3d61aac7161aa59e563bef41e2b957
2,1,Intro,Letters 2,,Learn the alphabet,אני ילדה,I am a girl,https://d1vq87e9lcf771.cloudfront.net/he_v1/7b0255cdf37b2af5e6ec043aa461aa58
2,1,Intro,Letters 2,,Learn the alphabet,זה גבר.,This is a man.,https://d1vq87e9lcf771.cloudfront.net/he_v1/a925c3408422523c1c049f6d18165e26
2,1,Intro,Letters 2,,Learn the alphabet,זאת אישה.,This is a woman.,https://d1vq87e9lcf771.cloudfront.net/he_v1/f6731a681eef27b99facef7d78a480f8
3,1,Intro,Letters 3,learn the alphabet,Learn the alphabet,הילדה אוכלת תפוז.,The girl is eating an orange.,https://d1vq87e9lcf771.cloudfront.net/he_v1/a617e0083e654b3c4349119a51a65305
3,1,Intro,Letters 3,learn the alphabet,Learn the alphabet,הילד לא רוצֶה מים.,The boy doesn't want water.,https://d1vq87e9lcf771.cloudfront.net/he_v1/6e83c844cbbef009206fb617c2f09862
3,1,Intro,Letters 3,learn the alphabet,Learn the alphabet,הוא רוצֶה עוגה ואני רוצֶה תפוח.,He wants a cake and I want an apple.,https://d1vq87e9lcf771.cloudfront.net/he_v1/078800337586d2e29aaec92e1e3f73b1
3,1,Intro,Letters 3,learn the alphabet,Learn the alphabet,התפוח טעים.,The apple is tasty.,https://d1vq87e9lcf771.cloudfront.net/he_v1/6f1930282cf781c05d4d99b3aa3c3196
4,1,Intro,Phrases,greet people,Greet people,שלום.,Hi.,https://d1vq87e9lcf771.cloudfront.net/he_v1/49fbfabf4bff63b8f15fd7140af53802
4,1,Intro,Phrases,greet people,Greet people,"שלום, מה קורה?","Hi, how are you?",https://d1vq87e9lcf771.cloudfront.net/he_v1/bd03402bedb0ccaf12ef0496263e4393
4,1,Intro,Phrases,greet people,Greet people,"בסדר, תודה!","Fine, thanks!",https://d1vq87e9lcf771.cloudfront.net/he_v1/a3d4bc79333f727f77bbb33c3725a427
4,1,Intro,Phrases,greet people,Greet people,ערב טוב!,Good evening!,https://d1vq87e9lcf771.cloudfront.net/he_v1/fb6b1ee0365b4d7e271b8252c1fddc15
5,1,Intro,Basics,describe people,Describe people,אנחנו גברים.,We are men.,https://d1vq87e9lcf771.cloudfront.net/he_v1/c53c74b0fb60a85f4ed945aa4c74ea2c
5,1,Intro,Basics,describe people,Describe people,אנחנו גברים והם ילדים.,We are men and they are children.,https://d1vq87e9lcf771.cloudfront.net/he_v1/34a658595f1b411b87233f4ea986f4fe
5,1,Intro,Basics,describe people,Describe people,אנחנו הנשים.,We are the women.,https://d1vq87e9lcf771.cloudfront.net/he_v1/aecaf2b8e7009fe67352cc3dbe639513
5,1,Intro,Basics,describe people,Describe people,אתם ילדים.,You are children.,https://d1vq87e9lcf771.cloudfront.net/he_v1/ac36275712da69710372f387c3022af7
6,1,Intro,There is,form basic sentences,Form basic sentences,יש חלב?,Is there any milk?,https://d1vq87e9lcf771.cloudfront.net/he_v1/f8a9f2cee57c5b2875af785c308f4d12
6,1,Intro,There is,form basic sentences,Form basic sentences,אין מים!,There is no water!,https://d1vq87e9lcf771.cloudfront.net/he_v1/32a9f9c35516ce6df69b744f39dea52d
6,1,Intro,There is,form basic sentences,Form basic sentences,יש לי תפוח.,I have an apple.,https://d1vq87e9lcf771.cloudfront.net/he_v1/afd5502b24e09d1d87c2454fe791eec4
6,1,Intro,There is,form basic sentences,Form basic sentences,אין להם כלב.,They don't have a dog.,https://d1vq87e9lcf771.cloudfront.net/he_v1/8224cc66bc65b41395645cfd8f8c9b7e
7,1,Intro,Adj. Intro,use adjectives,Use adjectives,הילד שמח.,The boy is happy.,https://d1vq87e9lcf771.cloudfront.net/he_v1/aa10e80a56cbf370b7b6cec0f6dbb1e6
7,1,Intro,Adj. Intro,use adjectives,Use adjectives,האישה שמחה.,The woman is happy.,https://d1vq87e9lcf771.cloudfront.net/he_v1/9ed55beb4996dd190494bfb04ebef820
7,1,Intro,Adj. Intro,use adjectives,Use adjectives,זה ספר יפֶה.,This is a nice book.,https://d1vq87e9lcf771.cloudfront.net/he_v1/cdec66e6794b0999e9d8328f2b80a96c
7,1,Intro,Adj. Intro,use adjectives,Use adjectives,האוכל טעים.,The food is tasty.,https://d1vq87e9lcf771.cloudfront.net/he_v1/eb3e0e6c3e7bf34d878eb6f9aa99e4c7
8,1,Intro,Food 1,talk about food,Talk about food,אתה רוצֶה ארוחת צהריים?,Do you want lunch?,https://d1vq87e9lcf771.cloudfront.net/he_v1/c57f897b4728a096e474ac11c8b70b1b
8,1,Intro,Food 1,talk about food,Talk about food,הן אוכלות את הפירות.,They are eating the fruit.,https://d1vq87e9lcf771.cloudfront.net/he_v1/4cb54fa48188151c9fba5362194faac9
8,1,Intro,Food 1,talk about food,Talk about food,"הבשר טעים, תודה!","The meat is tasty, thanks!",https://d1vq87e9lcf771.cloudfront.net/he_v1/06c7e0a7ae96ec6a98e5a9d9d5357fab
8,1,Intro,Food 1,talk about food,Talk about food,אני רוצֶה מלח.,I want salt.,https://d1vq87e9lcf771.cloudfront.net/he_v1/4707427ffe22a2a122fb471841fd6a3b
8,1,Intro,Food 1,talk about food,Talk about food,אנחנו רוצים כריך והם רוצים לחם.,We want a sandwich and they want bread.,https://d1vq87e9lcf771.cloudfront.net/he_v1/c30d463f65dbd4f939a59a3c1a04b9af
9,1,Intro,Animals,describe animals,Describe animals,יש לי צב.,I have a turtle.,https://d1vq87e9lcf771.cloudfront.net/he_v1/cf61df06b883f2b2aff5b645379521dc
9,1,Intro,Animals,describe animals,Describe animals,זה נשר?,Is that an eagle?,https://d1vq87e9lcf771.cloudfront.net/he_v1/50435529bc66afbb1794d8ea737c40af
9,1,Intro,Animals,describe animals,Describe animals,החתול שותֶה את החלב.,The cat drinks the milk.,https://d1vq87e9lcf771.cloudfront.net/he_v1/b0ae839115c5edc43df4092324a0d601
9,1,Intro,Animals,describe animals,Describe animals,"לא, הכלב לא נובח.","No, the dog is not barking.",https://d1vq87e9lcf771.cloudfront.net/he_v1/3fdadfc9bac392647d268d8dcd3f12f4
10,1,Intro,Plurals,form the plural,Form the plural,הוא קורא עיתונים או ספרים?,Does he read newspapers or books?,https://d1vq87e9lcf771.cloudfront.net/he_v1/3d9352c0bec72fc46421a729103275f0
10,1,Intro,Plurals,form the plural,Form the plural,"התפוחים טעימים, תודה!","The apples are tasty, thanks!",https://d1vq87e9lcf771.cloudfront.net/he_v1/f874697f1fdb06d583b75d7622a30ae3
10,1,Intro,Plurals,form the plural,Form the plural,הספרים יפים.,The books are pretty.,https://d1vq87e9lcf771.cloudfront.net/he_v1/67c7d7e2c0feb171e578a84efe1f0620
10,1,Intro,Plurals,form the plural,Form the plural,החתולים שותים את החלב.,The cats are drinking the milk.,https://d1vq87e9lcf771.cloudfront.net/he_v1/e9aaae27000b5a0c2d62a0431c4530f0
11,1,Intro,Possess.1,form the possessive,Form the possessive,הילד שלה אוכל ארוחת צהריים.,Her boy is eating lunch.,https://d1vq87e9lcf771.cloudfront.net/he_v1/c1f67ef7c83c48ab60a9478af0c01770
