hebrew,hebrew_alt,english,transliteration,skill,page
אבא,אבות,"Father, Dad",aba avot,Letters 1,4
אהבה,אהבות,Love,ahavah ahavot,Letters 1,4
מים,,Water,mayim,Letters 1,4
יין,יינות,Wine,yayin yeinot,Letters 1,4
חלב,חלבים,Milk,khalav khalavim,Letters 1,4
לחם,לחמים,Bread,lekhem l'khamim,Letters 1,4
אמא,אמהות,"Mother, Mom",ima imahot,Letters 1,4
יונה,יונים,Dove,yonah yonim,Letters 1,4
חם,,"Hot, Warm (m.s)",kham,Letters 1,4
לא,,"No, Not",lo,Letters 1,4
אני,,I,ani,Letters 1,4
הוא,,He,hu,Letters 1,4
היא,,She,hi,Letters 1,4
אתה,,You (m.s),atah,Letters 1,4
את,,You (f.s),at,Letters 1,4
האם,,Is It?,haim,Letters 1,4
או,,Or,o,Letters 1,4
לבוא,,To Come (Qal),lavo,Letters 1,4
בא,,Come(s) (m.s - pres.),ba,Letters 1,4
באה,,Come(s) (f.s - pres.),ba'ah,Letters 1,4
באים,,Come(s) (m.p - pres.),ba'im,Letters 1,4
באות,,Come(s) (f.p - pres.),ba'ot,Letters 1,4
לאהוב,,To Love (Qal),le'ehov,Letters 1,4
אוהב,,Love(s) (m.s - pres.),ohev,Letters 1,4
אוהבת,,Love(s) (f.s - pres.),ohevet,Letters 1,4
אוהבים,,Love(s) (m.p - pres.),ohavim,Letters 1,4
אוהבות,,Love(s) (f.p - pres.),ohavot,Letters 1,4
כלב,כלבים,Dog,kelev k'lavim,Letters 2,4
מלך,מלכים,King,melekh m'lakhim,Letters 2,4
ילד,ילדים,Boy,yeled y'ladim,Letters 2,4
אגוז,אגוזים,Nut,egoz egozim,Letters 2,4
אורז,,Rice,orez,Letters 2,4
גבר,גברים,Man,gever g'varim,Letters 2,4
דרך,דרכים,"Road, Way, Path",derekh d'rakhim,Letters 2,4
ילדה,ילדות,Girl,yal'dah y'ladot,Letters 2,4
אישה,נשים,Woman; Wife,ishah nashim,Letters 2,4
משאית,משאיות,Truck,masa'it masa'iyot,Letters 2,4
שמח,,Happy,sameakh,Letters 2,4
כן,,Yes,ken,Letters 2,4
זה,,This (m),zeh,Letters 2,4
זאת,,This (f),zot,Letters 2,4
ללכת,,"To Go, Walk (Qal)",lalekhet,Letters 2,4
הולך,,"Walk, Go (m.s - pres.)",holekh,Letters 2,4
הולכת,,"Walk, Go (f.s - pres.)",holekhet,Letters 2,4
הולכים,,"Walk, Go (m.p - pres.)",hol'khim,Letters 2,4
הולכוֹת,,"Walk, Go (f.p - pres.)",hol'khot,Letters 2,5
לאכול,,To Eat (Qal),le'ekhol,Letters 2,5
אוכל,,Eat (m.s - pres.),okhel,Letters 2,5
אוכלת,,Eat (f.s - pres.),okhelet,Letters 2,5
אוכלים,,Eat (m.p - pres.),okhel,Letters 2,5
אוכלות,,Eat (f.p - pres.),okhelet,Letters 2,5
לראות,,To See (Qal),lir'ot,Letters 2,5
רואה,,See (m.s - pres.),ro'eh,Letters 2,5
רואה,,See (f.s - pres.),ro'ah,Letters 2,5
