hebrew,english,unit,challenge_type,solution_key,source
אבא או אמא?,Dad or mom?,1,translate,0f94b7e2e76bc14fdbe662675a1e582e,duolingo_hebrew_sentences.tsv
אבא בא ואמא באה.,Dad is coming and mom is coming.,1,listenTap,badfd8d0f9b2216b2a574b2752fa0252,duolingo_hebrew_sentences_2.tsv
אבא בא.,Dad is coming.,1,translate,bd3d75c51d666afbc360190ef9f66cc2,duolingo_hebrew_sentences.tsv
אבא בא?,Is dad coming?,1,translate,bc2ddbac8df05dac4f153b0ef50b1dd9,duolingo_hebrew_sentences.tsv
אבא ואמא.,Dad and mom.,1,translate,aa512edef91d5714d519c41e9ea2762b,duolingo_hebrew_sentences.tsv
אבא ואמא?,Dad and mom?,1,translate,62d7a5e9b2122cf163c36d6e5710afa1,duolingo_hebrew_sentences.tsv
"אבא, אהבה באה?","Dad, is love coming?",1,translate,fac88703860e5e4ee1f6dd6d378fd225,duolingo_hebrew_sentences.tsv
אבא.,Dad.,1,translate,b3cab83b187fc0b685b881a908fc505f,duolingo_hebrew_sentences.tsv
אהבה באה.,A love is coming.,1,listenTap,e6167f9f9dd0caccf133919cc7996c4d,duolingo_hebrew_sentences.tsv
אהבה באה?,Is love coming?,1,translate,65c486ca42988ce5ada8e5d8c535ecc7,duolingo_hebrew_sentences.tsv
אהבה.,Love.,1,translate,411408a4503f14db4557e66fb50f50ab,duolingo_hebrew_sentences.tsv
או,or,1,assist,e0648d8a3ba32a534d1b809bbfcf1b61,duolingo_hebrew_sentences.tsv
אמא או אבא?,Mom or dad?,1,translate,57a26ff9fa02a933f08452197028a458,duolingo_hebrew_sentences.tsv
אמא באה?,Is mom coming?,1,translate,6ee84c361f4b6602066bb0068b7c4b95,duolingo_hebrew_sentences.tsv
אני,I,1,assist,09061d460c1938aa743bf7f9d6294371,duolingo_hebrew_sentences_2.tsv
אני אבא.,I am a father.,1,translate,6f43d28ff612f8cf3abdebb8532f77ce,duolingo_hebrew_sentences_2.tsv
אני אמא.,I am a mom.,1,translate,3d8db12911cded9265e15980a48ad1ab,duolingo_hebrew_sentences_2.tsv
