hebrew,english,transliteration,skill,english_guidebook,english_pdf,skill_url,transliteration_key,lexeme_id,related_lexemes
מה,everything / nothing can be done / there is nothing to do / what / what are / what do / what does / what is / what is happening / what time is it / what's happening / what's up / whatever,mah nishma,Questions,everything / nothing can be done / there is nothing to do / what / what are / what do / what does / what is / what is happening / what time is it / what's happening / what's up / whatever,How Are You?,Questions,mh,4ab82e6792709e726d71655345988e52,
אוהב,like / likes / love,ohev,Letters 1,like / likes / love,Love(s) (m.s - pres.),Letters-1,vhb,bd5672dc02f9384901a0c6690cb0c4f2,
לכם,do you have / to you (pl. masc.) / you / you have (p.m.),lakhem,There is/To Have,do you have / to you (pl. masc.) / you / you have (p.m.),To You (m.p),There-is,lkm,5b3b0abb42752f764baf3a8ddf947aab,
אני,I / I am / I am a girl / I think so / i'm / me,ani,Letters 1,I / I am / I am a girl / I think so / i'm / me,I,Letters-1,ny,09061d460c1938aa743bf7f9d6294371,
אתה,you / you are,atah,Letters 1,you / you are,You (m.s),Letters-1,th,f67797f09b2cf1cbd5e99d3353de712e,
היא,her / it / she,hi,Letters 1,her / it / she,She,Letters-1,hy,2a141388df07a6317c89931d6f5187cf,
לא,aren't / didn't / do not / does not / doesn't / don't / is not / no / no longer / not / not anymore / not yet / we will not have / won't,lo,Letters 1,aren't / didn't / do not / does not / doesn't / don't / is not / no / no longer / not / not anymore / not yet / we will not have / won't,"No, Not",Letters-1,l,9f71891c187cd0ba608419b9e41d6709,
או,or,o,Letters 1,or,Or,Letters-1,v,e0648d8a3ba32a534d1b809bbfcf1b61,
רוצֶה,want / wants / would like,rotzeh,Letters 3,want / wants / would like,Want (m.s - pres.),Letters-3,rvtseh,0b55fbf3b6498b2a5601976cb4638a84,
זאת,it is (feminine) / that / that is (feminine) / this / this is (feminine),zot,Letters 2,it is (feminine) / that / that is (feminine) / this / this is (feminine),This (f),Letters-2,zt,04bc5b98dfdc2426223f86cf5dcb8271,
זה,it / it is / it's / that / this / this is,zeh,Letters 2,it / it is / it's / that / this / this is,This (m),Letters-2,zh,38143c863029ba06cfd190ad3164265f,
הרבה,a lot of / lots of / many / much,harbeh,Numbers 1,a lot of / lots of / many / much,"A lot, Many, Much",Numbers-1,hrbh,3b414be2748a82d8d575db8c80d8294f,
שלי,mine / my,sheli,Possessives 1,mine / my,My,Possessives-1,shly,abd24d52cf9f2a666ee7623ab8501d9c,
הילד,the boy / the boy is / the kid,,Letters 2,the boy / the boy is / the kid,,Letters-2,hyld,5d4baf41b41ff9b06730658fb72b85ad,
עם,who with / with / with whom,im,Prepositions 1,who with / with / with whom,With,Prepositions-1,`m,6546fe39c7ec5bc4679bece65edc27e1,
אבל,but,aval,Conjunctions,but,But,Conjunctions,bl,b2821c3a18ecfe0e14ffd43c150b897f,
לאן,Where To?,l'an,Questions,,Where To?,Questions,ln,97f1382197dc4e2512b1e154555832c4,
עברית,Hebrew,ivrit,Common Phrases,Hebrew,Hebrew,Common-Phrases,`bryt,f1dfc05d45334109836fafaa0b60a54c,
של,'s / Abraham's / Avraham's / of / whose,shel,Possessives 1,'s / Abraham's / Avraham's / of / whose,Of,Possessives-1,shl,88396c458e160ecb79761374f6c2e2c5,
הוא,(he) is / (it) is / he / him,hu,Letters 1,(he) is / (it) is / he / him,He,Letters-1,hv,fef90ce1cd3afc2b9b754d04206d3e30,
כן,Yes,ken,Letters 2,,Yes,Letters-2,kn,bc24f90d64c9ba81c5e93a338e489807,
הולך,"Walk, Go (m.s - pres.)",holekh,Letters 2,,"Walk, Go (m.s - pres.)",Letters-2,hvlk,88610b69e9338ca3e091356dc3eecb45,
הכלב,the dog,,Letters 2,the dog,,Letters-2,hklb,cba8035a702d7b789db3d729b7931565,
מתוק,Sweet (m.s),matok,Letters 3,,Sweet (m.s),Letters-3,mtvq,455e7c221aa477409951b88e170fe619,
יותר,any longer / any more / more / taller / too / too many / too much,yoter,Comparison,any longer / any more / more / taller / too / too many / too much,More,Comparison,yvtr,2b1ae05c91baad29f18d6a262b94ef60,46b8df8aefd6b44eb0a38815dfd78d63
שלנו,our / ours,shelanu,Possessives 1,our / ours,Our,Possessives-1,shlnv,7449b147cc9ff43d526a3899f0cb7a28,
פחות,less / minus,pakhot,Comparison,less / minus,Less,Comparison,pkhvt,94fda9b193a21347ea931dca4fd04c6f,eccff0f24313f7a1860ff756abad8e54;5709b128c7d602ecececa8b27783f0e5
הכי,best / prettiest / the most,hakhi,Comparison,best / prettiest / the most,Most,Comparison,hky,d068cc7e35df1eea20333e19bc3462b1,
שלךָ,your (sg.masc.) / yours (sg.masc.),shel'kha,Possessives 1,your (sg.masc.) / yours (sg.masc.),Your (m.s),Possessives-1,shlka,a655268a4e39893dd8a1ee59eefa1324,
ביותר,biggest / most / the greatest / very,,Comparison,biggest / most / the greatest / very,,Comparison,byvtr,0c74b360452a1048d11d56a61a0c6832,
לךָ,to you / you,l'kha,There is/To Have,to you / you,To You (m.s),There-is,lka,01c57f1d67d5e1656288cfecc10a6b3f,
להיות,be / becoming / it's possible / maybe / might / to be / to become,lih'yot,Infinitives 1,be / becoming / it's possible / maybe / might / to be / to become,To Be (Qal),Verbs:-Infinitive,lhyvt,f93a8fc7555cccf8ccb91cd663448bd2,
אחד,just anyone / one (masc.),ekhad,Numbers 1,just anyone / one (masc.),One (m),Numbers-1,khd,cf8110990c2ef16fde3522479a46cea6,
את,it / that / the fruit / the milk / this / you,at,Letters 1,it / that / the fruit / the milk / this / you,You (f.s),Letters-1,t,4b2f39316b300621459aa1a1d86812ae,
לקנות,"Buy, Purchase (Qal)",lik'not,Infinitives 1,,"Buy, Purchase (Qal)",Verbs:-Infinitive,lqnvt,8b0555a5f450ae01897bc5effa12e450,
להם,them / they do not have / to them,lahem,There is/To Have,them / they do not have / to them,To Them/They (m),There-is,lhm,356bbf5e3c36b214f3982188ab4fe135,
איפה,where / where are / where is,eifoh,Questions,where / where are / where is,Where?,Questions,yph,18bf068776674b7161373cd86f0beaac,
האם,do / does / is,haim,Letters 1,do / does / is,Is It?,Letters-1,hm,9ba467f8c7297f831df1e6eb5762827e,
לידנו,,,Prepositions 1,,,Prepositions-1,lydnv,edac2dc273c097b5957d3eabd9452c93,
אהבה,Love,ahavah ahavot,Letters 1,,Love,Letters-1,hbh,5b1ffa1b970035ba14d9ec4e8893fe78,
מים,water,mayim,Letters 1,water,Water,Letters-1,mym,047c460364def427e390aeb337409bed,
בה,,,Prepositions 1,,,Prepositions-1,bh,6dcc8ff10daffd8046f8d59efe07c20a,
נגדה,,,Prepositions 1,,,Prepositions-1,ngdh,526b36b2cd56e27901f12b1b691bd71e,
בתוכה,,,Prepositions 1,,,Prepositions-1,btvkh,16e92f1c472cf065252cbf5ea37225f1,
נגדו,,,Prepositions 1,,,Prepositions-1,ngdv,d71daa25e61a94d85b42db5872418f02,
עוגה,a cake / cake,ugah ugot,Letters 3,a cake / cake,Cake,Letters-3,`vgh,2697706d9562afac178377654d221a7d,
אותו,him / it / the same,oto,Direct Object,him / it / the same,Him,Direct-object,vtv,bca1de73870cea47d63659db6aaf1772,
אוהבת,like / likes / love / loves,ohevet,Letters 1,like / likes / love / loves,Love(s) (f.s - pres.),Letters-1,vhbt,c7e7b29880e7892820601f3742caa536,
אוכל,eat / eating / eats / food / is eating,okhel,Letters 2,eat / eating / eats / food / is eating,Eat (m.s - pres.),Letters-2,vkl,bd869bbbb945d184c4872cc55876a0ef,
ואני,and I / and I am,,Letters 1,and I / and I am,,Letters-1,vny,993e7d1e8e9e4dc5f8b5d1546e6d0e7f,
אלא,Unless,eilah im ken,Conjunctions,,Unless,Conjunctions,l,7076f80d6da6bbf40b3ac00f46b290d8,
הזה,that / this,hazeh,Determiners,that / this,This (m) (formal),Determiners,hzh,cf08682580736533c010bb366a2eb5a6,
