hebrew,english,first_unit,units_seen,occurrences,example_phrase
את,it / that / the fruit / the milk / this / you,1,35,48,את אוהבת לחם.
היא,her / it / she,1,17,22,היא אוהבת מים.
אוהבת,like / likes / love / loves,1,4,5,היא אוהבת מים.
בא,come / comes / coming / is coming,1,3,4,אבא בא?
מים,water,1,4,4,היא אוהבת מים.
לחם,bread,1,3,4,את אוהבת לחם.
אבא,dad / father,1,2,3,אבא בא?
באה,come / comes / is coming,1,2,3,אמא באה?
אמא,mom / mother / mum,1,2,2,אמא באה?
ואמא,and mom / and mother,1,1,1,אבא בא ואמא באה.
אני,I / I am / I am a girl / I think so / i'm / me,2,35,59,אני אוכלת לחם.
לא,aren't / didn't / do not / does not / doesn't / don't / is not / no / no longer / not / not anymore / not yet / we will not have / won't,2,23,29,"לא, אני לא אוכל לחם."
זה,it / it is / it's / that / this / this is,2,21,22,זה גבר.
זאת,it is (feminine) / that / that is (feminine) / this / this is (feminine),2,14,14,זאת אישה.
אוכל,eat / eating / eats / food / is eating,2,7,8,"לא, אני לא אוכל לחם."
הילד,the boy / the boy is / the kid,2,5,5,הילד אוכל אורז.
אוכלת,are eating / eating / is eating,2,2,2,אני אוכלת לחם.
אורז,rice,2,1,1,הילד אוכל אורז.
ילדה,I am a girl / a girl / child / girl,2,1,1,אני ילדה
גבר,a man / man,2,1,1,זה גבר.
אישה,a woman / wife / woman,2,1,1,זאת אישה.
הוא,(he) is / (it) is / he / him,3,24,27,הוא רוצֶה עוגה ואני רוצֶה תפוח.
רוצֶה,want / wants / would like,3,9,12,הילד לא רוצֶה מים.
טעים,delicious / tasty,3,5,5,התפוח טעים.
תפוח,an apple / apple,3,2,2,הוא רוצֶה עוגה ואני רוצֶה תפוח.
הילדה,the girl / the girl is,3,1,1,הילדה אוכלת תפוז.
תפוז,an orange / orange,3,1,1,הילדה אוכלת תפוז.
עוגה,a cake / cake,3,1,1,הוא רוצֶה עוגה ואני רוצֶה תפוח.
ואני,and I / and I am,3,1,1,הוא רוצֶה עוגה ואני רוצֶה תפוח.
התפוח,the apple / the apple is,3,1,1,התפוח טעים.
מה,everything / nothing can be done / there is nothing to do / what / what are / what do / what does / what is / what is happening / what time is it / what's happening / what's up / whatever,4,12,13,"שלום, מה קורה?"
תודה,thank you / thanks,4,4,4,"בסדר, תודה!"
טוב,alright / good / ok / well,4,4,4,ערב טוב!
שלום,hello / hi / peace,4,1,2,שלום.
בסדר,alright / fine / ok,4,2,2,"בסדר, תודה!"
קורה,what is happening / what's happening / what's up,4,1,1,"שלום, מה קורה?"
ערב,evening,4,1,1,ערב טוב!
אנחנו,we / we are,5,15,17,אנחנו גברים.
אתם,do you want / you / you are,5,3,3,אתם ילדים.
גברים,men,5,1,2,אנחנו גברים.
והם,and they are(masculine) / and they(masculine),5,2,2,אנחנו גברים והם ילדים.
ילדים,boys / children / kids,5,1,2,אנחנו גברים והם ילדים.
הנשים,the women,5,1,1,אנחנו הנשים.
יש,I have / do you have / has / have / she has / there are / there is / we have / you have / you have (p.m.),6,24,33,יש חלב?
לי,I have / for me / me / to me,6,16,22,יש לי תפוח.
אין,not has / not have / nothing can be done / there is no / there is nothing to do / they do not have,6,3,4,אין מים!
כלב,a dog / dog,6,3,3,אין להם כלב.
חלב,milk,6,1,1,יש חלב?
להם,them / they do not have / to them,6,1,1,אין להם כלב.
האוכל,the food,7,5,5,האוכל טעים.
שמח,happy (sg. masc.),7,2,2,הילד שמח.
ספר,a book / book,7,2,2,זה ספר יפֶה.
האישה,the woman / the woman is,7,1,1,האישה שמחה.
שמחה,happy (sg. fem.) / joy,7,1,1,האישה שמחה.
יפֶה,beautiful (sg. masc.) / nice / pretty,7,1,1,זה ספר יפֶה.
אתה,you / you are,8,13,13,אתה רוצֶה ארוחת צהריים?
רוצים,do you want / want,8,2,4,אנחנו רוצים כריך והם רוצים לחם.
ארוחת,breakfast / lunch,8,3,3,אתה רוצֶה ארוחת צהריים?
הן,are / they / they are,8,3,3,הן אוכלות את הפירות.
צהריים,lunch / noon,8,2,2,אתה רוצֶה ארוחת צהריים?
אוכלות,are eating / eat / eating,8,1,1,הן אוכלות את הפירות.
